text,label
students at schools and universities still learn much more from lessons with teachers,0
"teachers teach students how to write, read and calculate since they are in kindergarten",1
"And when they are in primary school, teachers teach them more further knowledge, like writing skills and using computers",1
It is teachers that help them with obstacles in schooling,1
students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers,1
students learn far more from their teachers than from other source,0
teachers teach us knowledge but also the skills to tell right from wrong,0
"They can only input some key words and google it, and then there are numberless articles and websites related to it",1
students learn things easily,1
they contend that good television programs do teach students,1
Discovery Channel has many instructive episodes,1
"Students have knowledge of others cultures, outer space etc",1
"students learn far more from other sources, such as the Internet and television",0
within this sources students learn lots of things which they can't learn in classes,1
they may be factors decreasing the position of written language,0
"it is easy to point out many benefits users can get from email and text messaging, which answers to the question of their great popularity",0
we cannot deny the threat from email and text messaging to the status of written language because their obvious popularity,0
"Before email and mobile phone, human beings communicated by meeting directly, sending letters or later, calling from home phones",1
"Such ways usually made people have troubles for the expensiveness, difficulties in far communication or emergency and the loss of information",1
People can send or receive electronic letters anywhere and anytime they want,1
"thanks to the function provided by email and text messaging (SMS), it is cheaper and faster to transfer a lot of information, even to many people at the same time",1
They are so convenient that the majority of population prefer to use them instead of some traditional ways,1
email and cell phones have improved the obstacles above,1
"The popularity of email and text messaging, as a result, leads to the losing of written language's position",0
People tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities,1
language in writing is not in its original form,1
"people compose a message with only emoticons (the expressions by face created by service providers), which means there is no room for writing or typing texts",1
"it is more dangerous that youngsters sometimes use such new languages in their studying, writing assignments",1
"If that tendency continues at a rapid pace, written language may face up to a real problem about its stand",1
there is some disadvantages of animals' profits,0
the merits of animal experiments still outweigh the demerits,0
it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals,0
doing this various testing is a hazard of human's future and next generation,0
animals are friendly and vital for people,1
"if there are no animals in the world, the balance of nature will broke down, and we, human, will die out as well",1
The animal experiments accelerate the vanishing of some categories of animals,1
animal experiments have negative impact on the natural balance,1
it is necessary to make sure that people can live a long life,1
"it is indisputable that every new kind food or pill may be noxious, and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying",0
The new foods or medicines are invented to promote the quantity of human's life,1
even if they are volunteers; they cannot take the place of animals to test the new foods or medicines,1
it also have potentially harm for human's health without any testing,1
television devastate families ties,0
most of people do not have a plan for make a limitation or schedule for watching television,0
it is a global problem to solve this problem and it is need global contribution to find a solution,0
"killing our time, making us lazy, and advertising negative behaviors are just only few reasons to show how television is destructive",0
"In spite of enjoying watching television shows, it is really time consuming task",0
Emergence of new television channels or shows are not surprising,1
We kill time by tracking these channels so at the end of the day we understand it is late for doing any other activities,1
This is a problem that suffers all of us everyday,1
there is no time for call to our parents or friends,1
watching television programs makes us lazy,0
We usually spend our times in front of television for at least three ours a day when we come back home after eight-hour working in the office,1
we do not have time to spend for healthy activity such as going to a gym or doing other sports,1
This makes us a lazy person who prefers to do sedentary activities like watching television shows rather than be active and sociable,1
some television programs have a negative effect on viewers,0
Some thriller or action movies advertise negative activities such as doing criminal activity,1
These genre of programs has more negative effects on our teenagers,1
They usually try to mimic what they see on movies in their daily behaviors,1
universities must open choice for everyone to select his subject,0
we must give them opportunity to achieve their goal,0
Our youth has become very confident towards his career,1
They are not ready to be bound in certain limitations,1
Female candidates also do not care about any restriction posed by the society and the employer,1
Universities should accept equal numbers of students of both genders,0
women have proved themselves in every field whether it is indoor or outdoor,1
nowadays women are working in home as well as in the sky,1
They are acting as a good housewife and they are flying planes also,1
university authority must not be biased on ground of the gender discrimination,1
They must consider the academic record of the student as main criteria of admission,1
universities follow the requirement of job providers and decide subject suitable for particular gender,0
the current job market affects the decision of universities,1
Every university designs its courses according to the need of employers,1
The job selection criteria are pre decided,1
employers need male candidates for the heavy work such as repairing and installation of heavy machine,1
They prefer male staff for night shifts,1
"They want female candidates for soft natured work like counseling, teaching, designing etc",1
for the young adults it will be better to live with their parents,0
"their lives are going to be more difficult, when they are away from home",0
They will have to pay a lot of bills,1
"they will have to find a lodging or at least a place where to live and in order to have less expenses they will have to find a co-tenant, who they may not like",1
They will not need to worry about financial problems or if they will get on well with their roommate,0
Living in their own houses will save the young adults a lot of money,0
"If they live separate from their parents they will have to pay for a loan, electricity, water or even for a meal",1
If the young adults still study they will have to combine studying with working,1
they will not have money to pay for everything,1
There will not be such worries when young adults live in their own home,1
parents will take care for them,1
parents will give their children money in order they to focus only on studying,1
"Another problem that the young adults may encounter is to find a co-tenant, who they do not like",0
"His habits may be totally different from theirs, his behavior may be inappropriate, but they will have to live with him or even share a room, in order to have less expenses",1
Living with such a person may be a huge problem for the young adults,1
"When the co-tenant do not share their interests and points of view, they will not be able to ask him for advice",1
"they are most likely to quarrel every day, instead of to help each other",1
more responsibilities should put on private individuals and companies such as paying to clean up air pollution,0
both companies and private individuals should take the main part to clean up the air pollution,0
governments are responsible to provide a healthy environment for their inhabitants and they should be responsible from cleaning up the air pollution,0
"If these companies were obliged to pay to clean up the air pollution, they would at least make an effort to reduce the amount of air pollution they cause",0
"in most industrialized countries, there is a number of companies that holds heavy factories in their constitutions",1
The waste products and harmful gases produced by these factories cause a significant amount of air pollution,1
"While these companies make a huge amount of money from their businesses, most of them are not considering to take precautions to reduce the amount of air pollution",1
"by charging private individuals for causing air pollution, that will at least contribute to reduce the amount of the pollution",0
private individuals cause air pollution in several ways such as inessential use of cars and house heating,1
"As house heating is a major need in the winter time, some households do not consider to use filters to reduce the amount of pollution that the heating causes",1
some expensive vehicles cause a huge amount of pollution,1
governments should restrict the use of products that cause air pollution for both individuals and companies,0
"Governments also should use an amount of money from their budgets to clean up the air, instead of putting all the responsibility to companies and private individuals",0
the benefits of learning in universities are the vital factor in creating more possibilities for the development of society through advancing academic fulfillment and the young generation who have experiences and challenges,0
higher education does not guarantee young students' success,0
"it is a loss of national productivity that young people spend much time on searching for high salary jobs, even can be a sheer time-consuming",0
"there are numerous job opportunities for those who do not have the certification of university graduation, such as mechanics, sales persons, or engineers",1
labors for graduates are in short supply,1
the labor market for highly educated students is now too competitive to get a job after finishing their studying,1
"universities provide not only skills for careers, but also academic knowledge for the human race, such as bio science, politics, and medicine",0
These academic values are necessary to the progress of the world,1
many researches in the ivory-tower have created ingenious discoveries and achievements for the development of modern society,1
diverse experiences in the campus life can make the young generation more competently,1
"there are a number of chances through internships, deeper discussion, independent life, and exchange scholarships",1
I do not think these disadvantages will outweigh the advantages brought by cell phones,0
The contribution of the mobile phone to our modern society is prominent and people's dependence on it is irreversible,0
it has a number of problems that should be well handled,0
almost everything that changed our lifestyle a lot will also cause some social problems,0
"Speaking loudly on the phone in public areas, such as schools, libraries and hospitals appears to be very impolite and offensive",1
some students utilize their cell phones as an effective cheating tools in examinations in which they can send and receive answers by texting each other,1
"it is not impossible to solve these problems, as long as some regulations and rules can be effectively implemented",1
some harmful effects on our health are lethal,0
"It has been proved that overusing of the electronic devices including mobile phones could lead to higher possibility of suffering hearing loss and even cancers, although the further investigation are needed",1
There is panic among people that their conversation can be intercepted by the third party,0
This possibility exists all the time,1
a more efficient and reliable system can also be invented to guarantee the private information of users,1
the mobile phone has become a dispensable multifunctional tools in people's daily life,0
"Not only used for communication, but it also functions as an Internet browser, a music player, a personal organizer and so forth",1
"it still has its bad side, especially for children",0
it is undeniable that computer is a crucial part of human life,0
using computer constantly has bad influence on children's eyes,0
"When they concentrate on computer for too long, their eyes will get tired, which is the main reason for some eyes problems, typically shortsighted",1
children who play games too much on computer can seriously lack communicating skills,1
"people who are addicted to games, especially online games, can eventually bear dangerous consequences",0
"several teenagers play games without rest, which leads to health depression",1
"a typical example is the death of Korean gamer, who had a non-stop playing for 3 days",1
even people who are not interested in online game can still be negatively affected by using computer too much,0
"Some social surveys have shown that a few children use computer for studying purpose, most of them are attracted by facebook, blog, etc. instead",1
they will have a bad result in school,1
"when they can not live without internet, they will have no time for their studying",1
they will know little about the outside life,1
"the advantages of building a factory will outweigh its disadvantages, if we tackle the environmental problems brought by factories",0
a large factory can stimulate local economic growth and reduce the unemployment rate,0
"To manufacture goods, there must be the demand of laborers, from which the local residents can benefit",1
"the factory is not isolated, other industries and business will be quickly established, resulting in economic growth of local area",1
the estate industry will be boosted in order to satisfy the workers' accommodation need,1
"It is true that some area are suffering the dire consequences caused by overdeveloping the industry, such as water pollution, overcrowded traffic and medical problems",1
"in some industrial cities, a large proportion of the workers are suffering various breathing problems, such as asthma which can be caused by waste ashes and certain chemical substances",1
The main disadvantage is contamination,0
how to improve the disadvantages of building a factory would be more important than whether to build it,0
it is inevitable that there will be more factories built with the development of our society,1
most problems can be avoidable if the factories put in real and great effort to manage their waste well,1
"it is obvious that prepared food can bring about some negative influence result from utilizing the artificial ingredients, ignoring the nutrition of food and modifying people's eating habits",0
it can effectively save time which is considered as money in our modern society,0
easy-to-cook foods sometimes could be dangerous for human's health,0
"to make their food easier to prepare and taste delicious, almost every producer adds a wide range of artificial ingredients in to the food that is now purchased by most people",1
ingredients being added have caused dire consequences,1
there are usually some articles in newspapers and magazines which report the relationship between certain chemical components in some food and diseases,1
Not cooking fresh food will also lead to the lack of nutrition,0
"Whereas some research has apparently demonstrated that prepared food is unable to support enough nutrients we need, especially for children who are growing up",1
the invention of prepared foods definitely satisfies the demand of some people who are busy in their work,0
it is not a good thing,0
The more prepared food we eat the more cooking skills we lose,0
"At the increasing living pace, the majority of people tend to choose microwave as their unique cooker that help them prepare a dish in five minutes",1
"rare people have been aware that this has contributed to a modification of cooking habits, which may cause the loss of our custom and culture about cooking",1
financial aid is not the only way to assist poor countries,0
it has been proven that developing education and improving national technology and science level are the path they have to undergo if they really want to alter current situation,0
the critical method to improve the condition of poor countries is to help them build up a complete educational system instead of financial aid,1
education is an essential part in development,1
"most developing countries are lack of educational resources, such as experienced teachers, evaluation systems and teaching facilities, which is usually neglected by local authorities",1
"if the developed countries are unwilling to share their successful experience in education, the developing countries will remain undeveloped, even though they gain a great deal of economic support",0
developing countries should not totally depend on the financial support from powerful countries,0
some powerful countries provide financial support in order to acquire the right to exploit the local resources and target the local labour market,1
they rarely provide local residents with any technological aid and even cause contamination in some areas,1
it is disagreed that this can be the best and only way to assist developing countries,0
Society does need an advertising but it is our responsibility to control the content and what kind of goods and services we would like to offer to our customers,0
modern society needs advertising,0
Ads will keep us well informed about new products and services,0
advertising cigarettes and alcohol will definitely affect our children in negative way,0
"advertising alcohol, cigarettes, goods and services with adult content should be prohibited",0
these kind of ads will have negative effect to our children,1
Youngsters might be tempted to buy cigarettes or alcohol and later to start consume it on a daily basis,1
"some countries take this issue seriously and advertising alcohol, cigarettes and materials with adult content is banned on those countries",1
"by advertising companies, businesses, firms and individuals promote their goods and services",0
"Thanks to ads we learn about new products, we can compare them and choose what’s the best for us",1
"These days, not only many businesses, but also governments have to rely on advertising",0
tourism makes up one-third of the Czech Republic's economy,1
"In order to promote the country's attractions, the Czech government has to advertise and sell its services to foreign consumers",1
Only well planned and well targeted advertising will bring more foreign tourists to the country,1
married women nowadays have right to take up jobs like men when employment discrimination based on gender have been erased significantly,0
Working outside home will bring a lot of benefits to both married woman and their household,0
it is a normal practice for women to be helpmates in earning money,0
married women could go to work in order to enjoy the working life outside the home,0
a well-organized home does not need the housewife's presence the whole day long,0
extra income that women earn will contribute to their family's expenses,1
"By taking up a job, a wife can earn more money to support her family life",1
This is really necessary in cases of her husband's low salary and the difficulty of getting a good job at the present,1
it is no doubt that they play roles as a mother and as a wife better,0
"working outside the house creates opportunities for married women to contact with the outer world, strengthen their character and show their capacity",1
"These things in turn will make them more confident, independent",1
These women will set a good example for their children,1
there are many supporting conditions that help women balance housework and work,0
"Besides the gorvernment's policies on limited families and their husbands' sharing in the housework, many employers are willing to offer part-time jobs for women",1
this will encourage all the parents to think of the way to help their children to achieve more in their lives,0
they need to make some contribution too for their children future,1
government should not pay for the university fees,0
this will make both the parents and students in charge for their future themselves not just depend on the government to do all their responsibilities for them,0
"government should provide those education to their people; however, for the more higher education like university, the students or their parents should pay for the fees",0
Some parents might not have enough money to pay for their children university fees,0
I don't think it is also fair for the government as the government has been paying a lot of money for their students' primary and secondary education,0
It is better for them to use the money to pay for the other students' education so that all people in their country could receive the same education,1
students that already have a basic knowledge and education can get a part-time job and they can pay for their own studies when their parent could not afford to pay it,1
They will be more responsible with their studies when they pay the fees themselves,0
the students will become more independent and it will build their characters in the marketplace as well,1
alternative means of transportation and international laws in controlling automobiles should be introduced,0
alternative forms of transport and international laws on controlling automobiles are necessary due to the environmental protection and the alleviation of traffic congestion,0
some people claim the convenience of automobile,0
it is crucial to alter automobiles to the other means of transportation and to legislate to control automobiles,0
an increase in the number of automobiles brings about environmental pollution,1
automobile exhaust and carbon dioxides emission have bad impacts on the air,1
the air gets to be polluted and it causes respiratory disease of the local inhabitants,1
the methods to reduce the number of automobiles and to control car ownership and use should be immediately planned and implemented,0
an increase in the number of automobiles causes terrible traffic congestion,1
"Once we get into the traffic jam, it forces us to waste our time for a while",1
"traffic congestion irritates drivers and as a result, it leads to an increase of traffic accidents",1
alternative forms which emit less carbon dioxides and gasses than automobiles are ideal,1
rental bicycle system has been introduced in several European countries,1
"This system is that at the corner of each district, the rental bicycles are placed and the people can ride it to the other districts with a small fee",1
bicycle expels neither carbon dioxides nor harmful gasses,1
it is a better form to protect environment than automobile,1
alternative forms of transportation and international laws to control automobiles ownership and use can work effectively,0
these attempts to reduce automobiles can ease traffic congestion and environmental pollution,1
the introduction of international laws can be also effective,1
there are some regulations to limit the use of automobiles by time and to allow the people possess one car only,1
"aiding poor countries has positive effects, overweighing its side-effects for the several reasons",0
"being a global neighbor by aiding poor countries would be continues by many organizations and volunteers, and it will make the earth a better place to live",0
"there are abovementioned three key points of positive effects of aid; supporting poor countries to make its economy strong and building humane concepts to people, keeping strong global economy",0
just giving aid to impoverished countries could be manipulated by big power countries,0
a great amount of materials and money have poor countries being corrupted and politically dependent on other countries,0
Aiding help poor countries in this situation solve their economical problems and run their own business,0
poor counties suffer from shortage of basic materials and facilities to start businesses and make it richer,1
"To be out of poverty, it is fundamental to support basic industry related factors such as light, electricity, load, highways, natural resources, technology and buildings for companies",1
republic of Korea used to be the poorest country even compared to others in Africa in 1960's,1
Now that it has became strong economy country aiding poor countries after 10 years of aid from other counties,1
aiding campaign gives a chance to considerate about poor people,0
"If people in rich countries ponder poor people suffering from poverty and diseases, they would never take their abundance for granted",1
"It not only raises the notice the meaning of harmony and love, but also be a good chance to learn humane doctrine of globalization",1
the campaigns might include practical benefits,0
"In globalized world, the economies of several countries are in a big network and must influence on each others",1
"When America mortgage loan system went bad, several economies of European and Asian countries fluctuated, even any countries had to be gotten international supports to block its bankrupt",1
I would rather classify myself in the proponents of globalization as a speeding factor of global progress,0
the idea of globalization put their inherited culture in danger of uncontrolled change and make them vulnerable against the attack of imperialistic governments,1
Some people prefer to recognize globalization as a threat to ethnic and religious values of people of their country,0
globalization contribute effectively to the global improvement of the world in many aspects,0
"Developing globalization, people can have more access to many natural resources of the world and it leads to increasing the pace of scientific and economic promotions of the entire world",1
they admit that globalization can be considered a chance for people of each country to promote their lifestyle through the stuffs and services imported from other countries,1
globalization results in considerable decrease in global tension,0
convergence of benefits of people of the world which is a natural consequence of globalization,1
student have to be forced to study at school,0
students should study at school,0
there are some advantages of leaving school to find a job,0
studying at school is always the best choice for children's future,1
There are many ways that can train children to learn independent and social skills instead of getting a job,1
they have more opprotunities to find a job and to be successful in the future,0
employer always prefer to hire an employee of high degree who have professional skills,1
schools offer to students a good environment with experienced professors and high quality programs for studying,1
schools provide lots of academic knowledge to students,1
"Students may learn professional skills, expand their understandings and gain experiences",1
It creates the best conditions for students education and can force them to focus on their school work instead of wasting their time to do useless things,1
children should interrupt their school work and get a job,0
Whether children can learn a lot at school,1
there are many subjects that will be of little value to them in the future,1
children can learn social skills when they have a job,1
They can get more experiences that can not be obtained at school,1
Working helps children be more independent and teach them to esteem and manage the money that they've earned,1
these various advertisements get people to buy products that are unnecessary and only look good on television,0
"The power of advertising maybe over-rated, we can not deny that the final decision is on the hands of us consumers",0
it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product,0
"To boost their sales and win over customers, companies pour a great amount of money into advertising",1
huge cooperation hire celebrities as the face of their product,1
"By casting famous singers in their television advertisement, motorcycles or clothes for example, sales increase significantly",1
"youngsters, as the target consumers, love celebrities",1
having these products shows their status,1
the quality obviously is not relatively important,1
it plays and important role economically,0
they aim to grab your attention,1
"They introduce new products, and provide various choices, not to mention they are often visually enjoyable",1
advertisements can be falseful and exaggerated,1
"Advertising also helps to keep prices at reasonable levels, creates a fair environment for commercial competition",1
"Otherwise the market may be monopolistic, and the price as well as the choice will not be so selective",1
it is sensible to enforce the gun control,0
the guns should be strictly limited and the government should enforce a series of laws to prevent our societies from violence,0
"considering the rise in accident rates, violent crime rates and suicide rates",0
"most violent crimes are related to the abuse of guns, especially in some countries where guns are available for people",0
guns will create a violent society if the trend continues,1
"in American, young adults and even juveniles can get access to guns, which leads to the tragedies of school gun shooting",1
